"","F.halfmax","Northsea","Coas","W_Baltic","Faroe","NE_Arctic","Celtic","Iceland","Kat","W_Scotland","NGulf","GB","GM","3NO","3M","2J3KL","3Ps"
"208",2.07,0.262747386808278,0.230542870708365,0.121031112491988,0.17692527425955,0.226479679689831,0.325785141877725,0.236490419742665,0.128192440995581,0.199894637488995,0.100835558852053,0.132021519719558,0.122408010148041,0.143761162972106,0.177680810870587,0.103604265659278,0.157561957377303
"209",2.08,0.261919293531175,0.229713305893174,0.120416511391182,0.176240929456109,0.225676824208607,0.324858560743792,0.235702184659234,0.127628126988937,0.199167248174497,0.100405517134548,0.131432859893622,0.121834133368362,0.143213045209223,0.176844000582171,0.103220235097086,0.156998314194043
"210",2.09,0.261096972290965,0.228889823735138,0.119807337370585,0.175562012990949,0.224879998572357,0.323937930591688,0.234919530098541,0.127068751294062,0.19844562717428,0.0999792146896276,0.130849303206448,0.121265260092593,0.14266948211591,0.176014305890396,0.102839409863719,0.156439115287738
"211",2.1,0.260280359092484,0.228072355231474,0.119203521836328,0.174888459195006,0.224089132329713,0.32302319001767,0.234142394005431,0.126514248069654,0.197729704260088,0.0995566016156708,0.130270784402121,0.120701325972122,0.142130414553196,0.175191639178427,0.102461748056015,0.155884305611731
"212",2.11,0.259469390902566,0.227260832438885,0.118604997326472,0.174220203459832,0.223304156140448,0.322114278491728,0.233370715268269,0.125964552632495,0.19701941035829,0.0991376289066386,0.129697239328221,0.120142267747871,0.141595784422064,0.174375914210483,0.102087208514224,0.155333831047569
"213",2.12,0.258664005631884,0.226455188453189,0.118011697487973,0.173557182216238,0.222525001753699,0.321211136342139,0.232604433700781,0.125419601432523,0.196314677526649,0.0987222484320116,0.129128604912829,0.119588023227573,0.141065534640649,0.17356704610608,0.101715750805456,0.15478763838533
"214",2.13,0.257864142117185,0.225655357389411,0.117423557054199,0.172899332913454,0.221751601986703,0.320313704740336,0.231843490024304,0.124879332028547,0.195615438931624,0.0983104129172671,0.128564819142098,0.119038531263622,0.140539609122018,0.172764951314807,0.101347335207548,0.154245675304455
"215",2.14,0.257069740103941,0.224861274362326,0.116840511822989,0.172246593998774,0.220983890704009,0.319421925686102,0.231087825850465,0.124343683064567,0.194921628826216,0.0979020759248738,0.128005821038378,0.118493731731456,0.140017952752537,0.17196954759163,0.100981922693376,0.153707890355053
"216",2.15,0.256280740229379,0.224072875467453,0.116262498635243,0.171598904897701,0.220221802797172,0.318535741993063,0.23033738366424,0.123812594246688,0.194233182528318,0.0974971918357918,0.127451550638865,0.117953565508475,0.139500511370788,0.171180753972715,0.100619474915574,0.153174232939695
"217",2.16,0.2554970840059,0.223290097762468,0.115689455354009,0.170956205994546,0.219465274164911,0.317655097274495,0.229592106807415,0.123286006320618,0.193550036399573,0.0970957158314593,0.126901948974778,0.117417974453477,0.138987231747034,0.170398490751752,0.100259954191655,0.152644653295645
"218",2.17,0.254718713804856,0.222512879249044,0.115121320844091,0.170318438613499,0.218714241693715,0.31677993592941,0.228851939462423,0.122763861049716,0.192872127824724,0.0966976038762537,0.126356958051034,0.116886901386581,0.138478061563204,0.169622679456771,0.0999033234895224,0.152119102477547
"219",2.18,0.253945572840702,0.221741158855098,0.114558034952113,0.169685545000133,0.217968643238889,0.315910203128945,0.228116826636541,0.122246101193596,0.192199395191434,0.0963028127004099,0.125816520826416,0.116360290069652,0.137972949393398,0.168853242827439,0.0995495464133603,0.151597532340538
"220",2.19,0.253177605155487,0.220974876417431,0.113999538487079,0.169057468303354,0.217228417606034,0.315045844803016,0.227386714146457,0.121732670487255,0.191531777870575,0.0959112997833858,0.125280581194218,0.11583808518719,0.137471844684875,0.168090104792831,0.0991985871898882,0.15107989552378
