"","Age","mat1","growth","Vul1","M_G","M_P","FISH","SURVM_G","SURVM_P","SurvshipM_G","SurvshipM_P","egg_productionM_G","egg_productionM_P","codNames"
"84",7,0.999969262610269,2.46904385031621,0.999969262610269,0.913,0.168,0,0.401318460910542,0.845353834684659,0.0041776767015212,0.364948146454494,0.0103148669685003,0.901072976687769,"Kat"
"85",8,0.999996594107049,3.12870639989706,0.999996594107049,0.913,0.168,0,0.401318460910542,0.845353834684659,0.00167657878403632,0.308510315066365,0.00524552277154607,0.965238197182395,"Kat"
"86",1,0.0452174734832875,0.0374185208167936,0.0452174734832875,0.941,0.23,0,0.390237402771992,0.794533602503334,1,1,0.0374185208167936,0.0374185208167936,"W_Scotland"
"87",2,0.42067574785125,0.237744628942688,0.42067574785125,0.941,0.23,0,0.390237402771992,0.794533602503334,0.390237402771992,0.794533602503334,0.0927768465215856,0.188896096509653,"W_Scotland"
"88",3,0.917586681872087,0.641332629176746,0.917586681872087,0.941,0.23,0,0.390237402771992,0.794533602503334,0.15228523052223,0.631283645506926,0.0976654872756085,0.404862800129238,"W_Scotland"
"89",4,0.994176422993789,1.22277228126738,0.994176422993789,0.941,0.23,0,0.390237402771992,0.794533602503334,0.0594273928395291,0.501576069066056,0.0726661687121636,0.613313314201025,"W_Scotland"
"90",5,0.999618111532317,1.93305672995437,0.999618111532317,0.941,0.23,0,0.390237402771992,0.794533602503334,0.0231907914352087,0.398519041084514,0.0448291154567983,0.770359914383382,"W_Scotland"
"91",6,0.999975084611061,2.72050517401758,0.999975084611061,0.941,0.23,0,0.390237402771992,0.794533602503334,0.00904991421790279,0.316636769379053,0.0246203384542199,0.861411969379927,"W_Scotland"
"92",7,0.999998374998185,3.54002732508707,0.999998374998185,0.941,0.23,0,0.390237402771992,0.794533602503334,0.00353161501970371,0.251578553059757,0.012502013671439,0.890594952237405,"W_Scotland"
"93",1,0.00200520852398041,0.0430226119919251,0.00200520852398041,0.308,0.08,0,0.734915318009069,0.923116346386636,1,1,0.0430226119919251,0.0430226119919251,"NGulf"
"94",2,0.00849286285164435,0.273351129357709,0.00849286285164435,0.308,0.08,0,0.734915318009069,0.923116346386636,0.734915318009069,0.923116346386636,0.200889932160059,0.252334895813349,"NGulf"
"95",3,0.0352297192059215,0.737383634107978,0.0352297192059215,0.308,0.08,0,0.734915318009069,0.923116346386636,0.540100524644371,0.852143788966211,0.398261287645892,0.628356883890447,"NGulf"
"96",4,0.134703051952028,1.40590424910215,0.134703051952028,0.308,0.08,0,0.734915318009069,0.923116346386636,0.396928148825883,0.786627861066553,0.55804297102256,1.1059234523356,"NGulf"
"97",5,0.39891212115163,2.22256646804385,0.39891212115163,0.308,0.08,0,0.734915318009069,0.923116346386636,0.291708576721124,0.726149037073691,0.648341701061169,1.61391450060232,"NGulf"
"98",6,0.738850006084249,3.12794936755634,0.738850006084249,0.308,0.08,0,0.734915318009069,0.923116346386636,0.214381101426978,0.670320046035639,0.670573230624547,2.09672716405751,"NGulf"
"99",7,0.923437802648188,4.07020958401113,0.923437802648188,0.308,0.08,0,0.734915318009069,0.923116346386636,0.157551955330342,0.618783391806141,0.641269478565251,2.51857809175627,"NGulf"
"100",8,0.980922802684742,5.00866904490177,0.980922802684742,0.308,0.08,0,0.734915318009069,0.923116346386636,0.115787345354549,0.571209063848815,0.579940492468679,2.86099715626688,"NGulf"
"101",9,0.995458743754169,5.91391422583991,0.995458743754169,0.308,0.08,0,0.734915318009069,0.923116346386636,0.0850938937326641,0.527292424043048,0.503237988677712,3.11836216772579,"NGulf"
"102",10,0.998931040497558,6.76636890810712,0.998931040497558,0.308,0.08,0,0.734915318009069,0.923116346386636,0.0625368059731708,0.486752255959971,0.42314709954919,3.29354533067855,"NGulf"
"103",11,0.999749048529705,7.55437377994869,0.999749048529705,0.308,0.08,0,0.734915318009069,0.923116346386636,0.0459592566490442,0.449328964117221,0.347193403375472,3.39439894509864,"NGulf"
"104",12,0.999941122931872,8.27228220846927,0.999941122931872,0.308,0.08,0,0.734915318009069,0.923116346386636,0.0337761617156927,0.414782911681581,0.279405941631106,3.43120130068062,"NGulf"
"105",13,0.999986188566737,8.91879383764645,0.999986188566737,0.308,0.08,0,0.734915318009069,0.923116346386636,0.0248226186284141,0.382892885975112,0.221387818057347,3.41494271191349,"NGulf"
"106",1,0.102477033444097,0.0823004700647871,0.102477033444097,0.954,0.204,0,0.385197149167755,0.815462371187293,1,1,0.0823004700647871,0.0823004700647871,"GB"
"107",2,0.49500016666,0.51860370541728,0.49500016666,0.954,0.204,0,0.385197149167755,0.815462371187293,0.385197149167755,0.815462371187293,0.199764668874571,0.422901807326091,"GB"
"108",3,0.893785008324824,1.38812147910969,0.893785008324824,0.954,0.204,0,0.385197149167755,0.815462371187293,0.148376843726966,0.664978878822402,0.205965083779903,0.923071464847653,"GB"
"109",4,0.986346340902649,2.62733974615474,0.986346340902649,0.954,0.204,0,0.385197149167755,0.815462371187293,0.0571543372061368,0.542265253313983,0.150163861806814,1.42471505299049,"GB"
"110",5,0.998390144977588,4.12520224467327,0.998390144977588,0.954,0.204,0,0.385197149167755,0.815462371187293,0.0220156877543764,0.442196909279899,0.0908191645423795,1.82415168274902,"GB"
"111",6,0.999812210294191,5.76871288838725,0.999812210294191,0.954,0.204,0,0.385197149167755,0.815462371187293,0.00848038015995327,0.360594940173078,0.048920878327146,2.08016867886367,"GB"
"112",7,0.999978121844362,7.46204387061782,0.999978121844362,0.954,0.204,0,0.385197149167755,0.815462371187293,0.00326661826147279,0.294051604951678,0.0243756487756713,2.194225976375,"GB"
"113",8,0.999997451492205,9.13212514163251,0.999997451492205,0.954,0.204,0,0.385197149167755,0.815462371187293,0.00125829204173865,0.239788019025325,0.0114908803898776,2.18977419720342,"GB"
"114",9,0.999999703138547,10.7278481795644,0.999999703138547,0.954,0.204,0,0.385197149167755,0.815462371187293,0.000484690507298201,0.195538106576695,0.00519968617637113,2.09770312067426,"GB"
"115",10,0.999999965420335,12.2166823516043,0.999999965420335,0.954,0.204,0,0.385197149167755,0.815462371187293,0.00018670140163994,0.159453968046505,0.00228087171843444,1.94799847732702,"GB"
"116",1,0.0870657724402712,0.0642215989142347,0.0870657724402712,0.797,0.153,0,0.450678975013409,0.858129721811394,1,1,0.0642215989142347,0.0642215989142347,"GM"
"117",2,0.32739298293224,0.432680508913293,0.32739298293224,0.797,0.153,0,0.450678975013409,0.858129721811394,0.450678975013409,0.858129721811394,0.195000008265323,0.371296004746976,"GM"
"118",3,0.713000162752282,1.23408406698775,0.713000162752282,0.797,0.153,0,0.450678975013409,0.858129721811394,0.203111538519137,0.7363866194561,0.250656713507836,0.908762994213744,"GM"
"119",4,0.926898826577622,2.4806573199301,0.926898826577622,0.797,0.153,0,0.450678975013409,0.858129721811394,0.0915380999932015,0.631915244899496,0.227074657800628,1.56756517783535,"GM"
"120",5,0.984782878791344,4.12285018406269,0.984782878791344,0.797,0.153,0,0.450678975013409,0.858129721811394,0.041254297079611,0.542265253313983,0.170085286308051,2.23567839943636,"GM"
"121",6,0.996981583675292,6.08313838504913,0.996981583675292,0.797,0.153,0,0.450678975013409,0.858129721811394,0.0185924443227378,0.465333930974313,0.113100411731535,2.83069069737565,"GM"
"122",7,0.999407164150915,8.27616125671517,0.999407164150915,0.797,0.153,0,0.450678975013409,0.858129721811394,0.00837922375036535,0.39931687673639,0.0693478069641213,3.30481086439822,"GM"
"123",8,0.999883790529625,10.6200628173064,0.999883790529625,0.797,0.153,0,0.450678975013409,0.858129721811394,0.00377633997122267,0.342665680348393,0.0401049677138899,3.63913105063498,"GM"
"124",9,0.999977229000224,13.0422806538383,0.999977229000224,0.797,0.153,0,0.450678975013409,0.858129721811394,0.0017019170275328,0.294051604951678,0.022196879522629,3.83510355849137,"GM"
"125",10,0.999995538406022,15.4819252340901,0.999995538406022,0.797,0.153,0,0.450678975013409,0.858129721811394,0.000767018221526352,0.252334421955378,0.0118749187588557,3.90662265470049,"GM"
"126",11,0.999999125838656,17.890147596477,0.999999125838656,0.797,0.153,0,0.450678975013409,0.858129721811394,0.000345678985894105,0.216535667316007,0.00618424807864603,3.87385504818501,"GM"
"127",1,0.000238715344314907,0.0317674550881311,0.000238715344314907,0.267,0.082,0,0.765673071465374,0.921271958696349,1,1,0.0317674550881311,0.0317674550881311,"cod3NO"
"128",2,0.00124173894032822,0.213423967605631,0.00124173894032822,0.267,0.082,0,0.765673071465374,0.921271958696349,0.765673071465374,0.921271958696349,0.16341298480093,0.196621516668786,"cod3NO"
"129",3,0.00643210846691863,0.607080840560761,0.00643210846691863,0.267,0.082,0,0.765673071465374,0.921271958696349,0.58625525236722,0.848742021880207,0.355904331390253,0.515255020062276,"cod3NO"
"130",4,0.0326094553067656,1.21715390243068,0.0326094553067656,0.267,0.082,0,0.765673071465374,0.921271958696349,0.448879859742717,0.781922224925477,0.546355873008382,0.951719687465321,"cod3NO"
"131",5,0.149312934530844,2.0179189979477,0.149312934530844,0.267,0.082,0,0.765673071465374,0.921271958696349,0.343695220928152,0.720363019705302,0.693549115814751,1.4536342228823,"cod3NO"
"132",6,0.4775151752082,2.97037447521068,0.4775151752082,0.267,0.082,0,0.765673071465374,0.921271958696349,0.263158175456029,0.66365025013632,0.781678327317601,1.97128976347211,"cod3NO"
"133",7,0.826353352980995,4.03217060125964,0.826353352980995,0.267,0.082,0,0.765673071465374,0.921271958696349,0.201493128482641,0.611402365832409,0.812454669023537,2.46527864505003,"cod3NO"
"134",8,0.961208865539764,5.16311401992583,0.961208865539764,0.267,0.082,0,0.765673071465374,0.921271958696349,0.154277862564471,0.563267855122005,0.79655419517081,2.90821615975397,"cod3NO"
"135",9,0.992309124118492,6.32790685703602,0.992309124118492,0.267,0.082,0,0.765673071465374,0.921271958696349,0.118126404888851,0.518922880158941,0.747492887493176,3.28369565163064,"cod3NO"
"136",10,0.998513732555894,7.49720761200492,0.998513732555894,0.267,0.082,0,0.765673071465374,0.921271958696349,0.0904462072524092,0.478069098216378,0.678093993489737,3.58418328221215,"cod3NO"
"137",11,0.999714219299158,8.6477169029055,0.999714219299158,0.267,0.082,0,0.765673071465374,0.921271958696349,0.0692522253093459,0.440431654506,0.598873639371451,3.80872826324617,"cod3NO"
"138",12,0.999945103167029,9.76173520223162,0.999945103167029,0.267,0.082,0,0.765673071465374,0.921271958696349,0.053024564058419,0.405757333018616,0.517611753552054,3.96089564129144,"cod3NO"
"139",1,0.00273196076301106,0.0254364775604313,0.00273196076301106,0.489,0.142,0,0.613239326993927,0.867621256485914,1,1,0.0254364775604313,0.0254364775604313,"cod3M"
"140",2,0.0260840751463829,0.163867047256506,0.0260840751463829,0.489,0.142,0,0.613239326993927,0.867621256485914,0.613239326993927,0.867621256485914,0.100489717776062,0.142174533437327,"cod3M"
"141",3,0.207510058559636,0.447859283302938,0.207510058559636,0.489,0.142,0,0.613239326993927,0.867621256485914,0.376062472171965,0.752766644706196,0.168423069264067,0.337133529992474,"cod3M"
"142",4,0.719099657416384,0.864473926953297,0.719099657416384,0.489,0.142,0,0.613239326993927,0.867621256485914,0.230616297342408,0.653116342120676,0.199361776183021,0.564602049030434,"cod3M"
"143",5,0.961580014498435,1.38253196585169,0.961580014498435,0.489,0.142,0,0.613239326993927,0.867621256485914,0.14142298297609,0.566657621382225,0.195521794670544,0.783422275254412,"cod3M"
"144",6,0.995929862284104,1.96692349090882,0.995929862284104,0.489,0.142,0,0.613239326993927,0.867621256485914,0.0867261349017311,0.491644197460965,0.170583672013942,0.967026521154986,"cod3M"
"145",7,0.999582162486557,2.58549122986319,0.999582162486557,0.489,0.142,0,0.613239326993927,0.867621256485914,0.0531838765999221,0.426560956345091,0.137506446519225,1.10286961163229,"cod3M"
